0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
Node	Location	Description	X Position	Y Position	X Variance	Y Variance	In Speed	Out Speed	In Teleport	Out Teleport	Is Platform	Traffic Light	Exit	Platform 1	Platform 2	Platform 3	Platform 4	Platform 5	Platform 6
0	Concourse	Spawner	122	370	15	150	2	2	FALSE	FALSE	FALSE	-1	-1	"8,20,32,44,56,68"	"8,20,32,44,56,68"	"8,20,32,44,56,68"	"8,20,32,44,56,68"	"8,20,32,44,56,68"	"8,20,32,44,56,68"
1	Concourse	Spawner	2914	370	15	150	2	2	FALSE	FALSE	FALSE	-1	-1	"15,27,39,51,63,75"	"15,27,39,51,63,75"	"15,27,39,51,63,75"	"15,27,39,51,63,75"	"15,27,39,51,63,75"	"15,27,39,51,63,75"
2	Concourse	Spawner	1932	136	150	15	2	2	FALSE	FALSE	FALSE	-1	-1	"12,24,36,48,60,72"	"12,24,36,48,60,72"	"12,24,36,48,60,72"	"12,24,36,48,60,72"	"12,24,36,48,60,72"	"12,24,36,48,60,72"
3	Concourse	Spawner	1932	597	150	15	2	2	FALSE	FALSE	FALSE	-1	-1	"19,31,43,55,67,79"	"19,31,43,55,67,79"	"19,31,43,55,67,79"	"19,31,43,55,67,79"	"19,31,43,55,67,79"	"19,31,43,55,67,79"
4	Concourse	Spawner	1098	136	150	15	2	2	FALSE	FALSE	FALSE	-1	-1	"10,22,34,46,58,70"	"10,22,34,46,58,70"	"10,22,34,46,58,70"	"10,22,34,46,58,70"	"10,22,34,46,58,70"	"10,22,34,46,58,70"
5	Concourse	Spawner	1098	597	150	15	2	2	FALSE	FALSE	FALSE	-1	-1	"17,29,41,53,65,77"	"17,29,41,53,65,77"	"17,29,41,53,65,77"	"17,29,41,53,65,77"	"17,29,41,53,65,77"	"17,29,41,53,65,77"
6	Concourse	Spawner	1513	597	150	15	2	2	FALSE	FALSE	FALSE	-1	-1	"17,19,29,31,41,43,53,55,65,67,77,79"	"17,19,29,31,41,43,53,55,65,67,77,79"	"17,19,29,31,41,43,53,55,65,67,77,79"	"17,19,29,31,41,43,53,55,65,67,77,79"	"17,19,29,31,41,43,53,55,65,67,77,79"	"17,19,29,31,41,43,53,55,65,67,77,79"
7	Concourse	Spawner	1513	136	150	15	2	2	FALSE	FALSE	FALSE	-1	-1	"10,12,22,24,34,36,46,48,58,60,70,72"	"10,12,22,24,34,36,46,48,58,60,70,72"	"10,12,22,24,34,36,46,48,58,60,70,72"	"10,12,22,24,34,36,46,48,58,60,70,72"	"10,12,22,24,34,36,46,48,58,60,70,72"	"10,12,22,24,34,36,46,48,58,60,70,72"
8	Concourse	Out Gate	305	332	15	0	2	1	FALSE	FALSE	FALSE	-1	0	14	14	14	14	14	14
